county_resident,Population,Positive,DEATHS,HOSPITALIZATION,number,,
Appling,18561,72,6,12,18561,,65
Atkinson,8330,9,1,3,8330,,109
Bacon,11404,25,1,3,11404,,
Baker,3116,23,2,8,3116,,
Baldwin,44428,226,8,43,44428,,
Banks,19982,25,0,7,19982,,
Barrow,86383,141,4,42,86383,,
Bartow,110771,320,31,119,110771,,
Ben Hill,16645,26,0,2,16645,,
Berrien,19276,17,0,1,19276,,
Bibb,152150,312,10,89,152150,,
Bleckley,12838,19,0,0,12838,,
Brantley,19202,23,2,1,19202,,
Brooks,15727,59,6,4,15727,,
Bryan,39137,54,3,17,39137,,
Bulloch,79467,40,2,8,79467,,
Burke,22342,86,3,15,22342,,
Butts,25174,153,14,16,25174,,
Calhoun,6317,103,4,7,6317,,
Camden,53924,33,1,6,53924,,
Candler,10837,7,0,1,10837,,
Carroll,120119,375,14,71,120119,,
Catoosa,68771,47,0,5,68771,,
Charlton,13251,11,0,3,13251,,
Chatham,292176,230,9,55,292176,,
Chattahoochee,10749,12,0,5,10749,,
Chattooga,24766,16,2,3,24766,,
Cherokee,266617,476,13,89,266617,,
Clarke,129779,155,13,30,129779,,
Clay,2855,23,3,4,2855,,
Clayton,304838,724,33,138,304838,,
Clinch,6656,8,0,2,6656,,
Cobb,790588,1672,94,476,790588,,
Coffee,43042,141,7,40,43042,,
Colquitt,45393,187,9,11,45393,,
Columbia,158631,162,4,25,158631,,
Cook,17437,25,1,5,17437,,
Coweta,152001,209,4,37,152001,,
Crawford,12228,17,0,4,12228,,
Crisp,22289,167,3,33,22289,,
Dade,16162,16,1,3,16162,,
Dawson,27021,61,1,12,27021,,
DeKalb,793154,2065,47,398,26322,,
Decatur,26322,86,1,10,793154,,
Dodge,20385,28,1,6,20385,,
Dooly,13400,129,9,35,13400,,
Dougherty,89905,1531,123,310,89905,,
Douglas,151906,325,11,97,151906,,
Early,10146,213,20,10,10146,,
Echols,3969,5,0,0,3969,,
Effingham,64026,36,1,11,64026,,
Elbert,18945,23,0,2,18945,,
Emanuel,22664,21,0,3,22664,,
Evans,10687,5,0,0,10687,,
Fannin,26320,30,1,4,26320,,
Fayette,117544,177,10,34,117544,,
Floyd,99916,145,11,37,99916,,
Forsyth,252507,308,10,42,252507,,
Franklin,23329,19,1,5,23329,,
Fulton,1099181,2880,121,542,1099181,,
Gilmer,31417,69,0,13,31417,,
Glascock,2995,1,1,1,2995,,
Glynn,86047,58,1,11,86047,,
Gordon,58049,112,12,26,58049,,
Grady,24540,64,4,18,24540,,
Greene,18717,54,2,17,18717,,
Gwinnett,971145,1843,58,360,971145,,
Habersham,45800,325,8,49,45800,,
Hall,206349,1466,22,198,206349,,
Hancock,8193,51,2,9,8193,,
Haralson,30722,29,1,7,30722,,
Harris,34712,61,2,9,34712,,
Hart,26107,11,0,0,26107,,
Heard,12370,11,1,3,12370,,
Henry,239866,492,13,59,239866,,
Houston,157039,234,14,74,157039,,
Irwin,9433,15,1,2,9433,,
Jackson,74700,97,2,17,74700,,
Jasper,14199,22,0,3,14199,,
Jeff Davis,15148,20,1,4,15148,,
Jefferson,15313,14,1,2,15313,,
Jenkins,8576,16,1,4,8576,,
Johnson,9661,51,2,10,9661,,
Jones,28591,29,0,4,28591,,
Lamar,19347,38,1,4,19347,,
Lanier,10351,9,1,4,10351,,
Laurens,47296,62,1,12,47296,,
Lee,29971,321,20,46,29971,,
Liberty,61904,37,0,11,61904,,
Lincoln,8125,12,0,5,8125,,
Long,19915,5,0,2,19915,,
Lowndes,117878,156,4,28,117878,,
Lumpkin,33802,46,2,10,33802,,
Macon,12988,81,3,28,12988,,
Madison,30177,24,1,5,30177,,
Marion,8293,42,1,8,8293,,
McDuffie,21597,45,4,13,21597,,
McIntosh,14567,6,0,2,14567,,
Meriwether,21020,53,0,9,21020,,
Miller,5764,33,0,1,5764,,
Mitchell,22056,318,31,69,22056,,
Monroe,27727,24,3,7,27727,,
Montgomery,9224,2,0,1,9224,,
Morgan,19138,27,0,3,19138,,
Murray,40261,32,0,5,40261,,
Muscogee,191626,313,7,55,191626,,
Newton,112354,200,7,35,112354,,
Oconee,41737,66,0,9,41737,,
Oglethorpe,15240,49,3,11,15240,,
Paulding,172542,190,8,52,172542,,
Peach,27375,52,2,15,27375,,
Pickens,33530,25,2,8,33530,,
Pierce,19545,55,3,15,19545,,
Pike,18860,40,2,7,18860,,
Polk,43482,59,0,11,43482,,
Pulaski,10893,31,1,7,10893,,
Putnam,21885,42,5,8,21885,,
Quitman,2294,4,1,3,2294,,
Rabun,16986,14,0,6,16986,,
Randolph,6754,161,19,26,6754,,
Richmond,202240,411,15,116,202240,,
Rockdale,94960,191,6,44,94960,,
Schley,5275,16,1,7,5275,,
Screven,13900,15,1,6,13900,,
Seminole,8140,29,2,7,8140,,
Spalding,69110,211,10,36,69110,,
Stephens,26328,81,1,21,26328,,
Stewart,6129,24,0,7,6129,,
Sumter,29399,382,28,97,29399,,
Talbot,6158,26,1,13,6158,,
Taliaferro,1632,0,0,0,1632,,
Tattnall,25411,9,0,1,25411,,
Taylor,7958,17,2,8,7958,,
Telfair,15644,28,0,5,15644,,
Terrell,8467,184,19,31,8467,,
Thomas,44431,190,19,45,44431,,
Tift,40830,122,5,34,40830,,
Toombs,26983,31,3,8,26983,,
Towns,12034,22,1,7,12034,,
Treutlen,6829,3,0,0,6829,,
Troup,70414,150,4,43,70414,,
Turner,8076,68,8,10,8076,,
Twiggs,8086,8,0,3,8086,,
Union,25335,33,1,10,25335,,
Upson,26277,222,18,21,26277,,
Walker,69610,60,0,1,69610,,
Walton,95814,129,4,21,95814,,
Ware,35853,127,11,37,35853,,
Warren,5210,12,0,3,5210,,
Washington,20302,43,1,4,20302,,
Wayne,29974,13,0,2,29974,,
Webster,2550,10,2,5,2550,,
Wheeler,7909,5,0,0,7909,,
White,31758,63,0,18,31758,,
Whitfield,104672,111,4,15,104672,,
Wilcox,8790,90,9,15,8790,,
Wilkes,10014,25,0,5,10014,,
Wilkinson,8919,35,2,13,8919,,
Worth,20142,158,11,31,20142,,
